Disease,Medicine,Dosage,Drug_Type
Fungal infection,Clotrimazole,Apply twice daily,Antifungal
Allergy,Cetirizine,10 mg once daily,Antihistamine
GERD,Omeprazole,20 mg once daily,Proton Pump Inhibitor
Chronic cholestasis,Ursodeoxycholic acid,300 mg twice daily,Hepatoprotective
Drug Reaction,Loratadine,10 mg once daily,Antihistamine
Peptic ulcer disease,Pantoprazole,40 mg daily,Proton Pump Inhibitor
AIDS,Antiretroviral therapy,As prescribed,Antiviral
Diabetes,Metformin,500 mg twice daily,Antidiabetic
Gastroenteritis,Oral Rehydration Solution,After each loose stool,Rehydration Therapy
Bronchial Asthma,Salbutamol inhaler,2 puffs when needed,Bronchodilator
Hypertension,Amlodipine,5 mg daily,Calcium Channel Blocker
Migraine,Ibuprofen,200-400 mg every 6 hours,NSAID
Cervical spondylosis,Diclofenac,50 mg twice daily,NSAID
Jaundice,Silymarin,140 mg three times daily,Hepatoprotective
Malaria,Artemisinin combination therapy,As prescribed,Antimalarial
Chicken pox,Calamine lotion,Apply to rash,Topical soothing agent
Dengue,Paracetamol,500 mg every 6 hours,Analgesic
Typhoid,Azithromycin,500 mg daily,Antibiotic
Tuberculosis,Isoniazid + Rifampicin,As prescribed,Antitubercular
Common Cold,Chlorpheniramine,4 mg every 6 hours,Antihistamine
Pneumonia,Amoxicillin,500 mg three times daily,Antibiotic
Heart attack,Aspirin,150 mg immediately,Antiplatelet
Hypothyroidism,Levothyroxine,25–100 mcg daily,Thyroid hormone
Hyperthyroidism,Methimazole,5–20 mg daily,Antithyroid
Hypoglycemia,Glucose tablets,As needed,Glucose supplement
Osteoarthritis,Paracetamol,500 mg three times daily,Analgesic
Arthritis,Naproxen,250 mg twice daily,NSAID
Acne,Benzoyl peroxide gel,Apply once daily,Topical antibiotic
Urinary tract infection,Nitrofurantoin,100 mg twice daily,Antibiotic
Psoriasis,Topical corticosteroids,Apply twice daily,Immunosuppressant
Impetigo,Mupirocin ointment,Apply three times daily,Topical antibiotic
Fungal infection type 1,Clotrimazole,Apply twice daily,Antifungal
Allergy type 1,Cetirizine,10 mg once daily,Antihistamine
GERD type 1,Omeprazole,20 mg once daily,Proton Pump Inhibitor
Chronic cholestasis type 1,Ursodeoxycholic acid,300 mg twice daily,Hepatoprotective
Drug Reaction type 1,Loratadine,10 mg once daily,Antihistamine
Peptic ulcer disease type 1,Pantoprazole,40 mg daily,Proton Pump Inhibitor
AIDS type 1,Antiretroviral therapy,As prescribed,Antiviral
Diabetes type 1,Metformin,500 mg twice daily,Antidiabetic
Gastroenteritis type 1,Oral Rehydration Solution,After each loose stool,Rehydration Therapy
Bronchial Asthma type 1,Salbutamol inhaler,2 puffs when needed,Bronchodilator
Hypertension type 1,Amlodipine,5 mg daily,Calcium Channel Blocker
Migraine type 1,Ibuprofen,200-400 mg every 6 hours,NSAID
Cervical spondylosis type 1,Diclofenac,50 mg twice daily,NSAID
Jaundice type 1,Silymarin,140 mg three times daily,Hepatoprotective
Malaria type 1,Artemisinin combination therapy,As prescribed,Antimalarial
Chicken pox type 1,Calamine lotion,Apply to rash,Topical soothing agent
Dengue type 1,Paracetamol,500 mg every 6 hours,Analgesic
Typhoid type 1,Azithromycin,500 mg daily,Antibiotic
Tuberculosis type 1,Isoniazid + Rifampicin,As prescribed,Antitubercular
Common Cold type 1,Chlorpheniramine,4 mg every 6 hours,Antihistamine
Pneumonia type 1,Amoxicillin,500 mg three times daily,Antibiotic
Heart attack type 1,Aspirin,150 mg immediately,Antiplatelet
Hypothyroidism type 1,Levothyroxine,25–100 mcg daily,Thyroid hormone
Hyperthyroidism type 1,Methimazole,5–20 mg daily,Antithyroid
Hypoglycemia type 1,Glucose tablets,As needed,Glucose supplement
Osteoarthritis type 1,Paracetamol,500 mg three times daily,Analgesic
Arthritis type 1,Naproxen,250 mg twice daily,NSAID
Acne type 1,Benzoyl peroxide gel,Apply once daily,Topical antibiotic
Urinary tract infection type 1,Nitrofurantoin,100 mg twice daily,Antibiotic
Psoriasis type 1,Topical corticosteroids,Apply twice daily,Immunosuppressant
Impetigo type 1,Mupirocin ointment,Apply three times daily,Topical antibiotic
Fungal infection type 2,Clotrimazole,Apply twice daily,Antifungal
Allergy type 2,Cetirizine,10 mg once daily,Antihistamine
GERD type 2,Omeprazole,20 mg once daily,Proton Pump Inhibitor
Chronic cholestasis type 2,Ursodeoxycholic acid,300 mg twice daily,Hepatoprotective
Drug Reaction type 2,Loratadine,10 mg once daily,Antihistamine
Peptic ulcer disease type 2,Pantoprazole,40 mg daily,Proton Pump Inhibitor
AIDS type 2,Antiretroviral therapy,As prescribed,Antiviral
Diabetes type 2,Metformin,500 mg twice daily,Antidiabetic
Gastroenteritis type 2,Oral Rehydration Solution,After each loose stool,Rehydration Therapy
Bronchial Asthma type 2,Salbutamol inhaler,2 puffs when needed,Bronchodilator
